Entry,Gene Names,Protein names,protein_symbol
Q8NFU0,BEST4 VMD2L2,Bestrophin-4,BEST4
Q8NFU1,BEST2 VMD2L1,Bestrophin-2a,BEST2
Q8NFU3,TSTD1 KAT,Thiosulfate:glutathione sulfurtransferase,TSTD1
Q8NFU5,IPMK IMPK,Inositol polyphosphate multikinase,IPMK
Q8NFU7,TET1 CXXC6 KIAA1676 LCX,Methylcytosine dioxygenase TET1,TET1
Q8NFV4,ABHD11 WBSCR21 PP1226,sn-1-specific diacylglycerol lipase ABHD11,ABHD11
Q8NFW1,COL22A1,Collagen alpha-1,COL22A1
Q8NFW5,DMBX1 MBX OTX3 PAXB,Diencephalon/mesencephalon homeobox protein 1,DMBX1
Q8NFW8,CMAS,N-acylneuraminate cytidylyltransferase,CMAS
Q8NFW9,MYRIP SLAC2C,Rab effector MyRIP,MYRIP
Q8NFX7,STXBP6 HSPC156,Syntaxin-binding protein 6,STXBP6
Q8NFY4,SEMA6D KIAA1479,Semaphorin-6D,SEMA6D
Q8NFY9,KBTBD8 KIAA1842 TAKRP,Kelch repeat and BTB domain-containing protein 8,KBTBD8
Q8NFZ0,FBH1 FBX18 FBXO18,F-box DNA helicase 1,FBH1
Q8NFZ3,NLGN4Y KIAA0951,"Neuroligin-4, Y-linked",NLGN4Y
Q8NFZ4,NLGN2 KIAA1366,Neuroligin-2,NLGN2
Q8NFZ5,TNIP2 ABIN2 FLIP1,TNFAIP3-interacting protein 2,TNIP2
Q8NFZ8,CADM4 IGSF4C NECL4 TSLL2,Cell adhesion molecule 4,CADM4
Q8NG06,TRIM58,E3 ubiquitin-protein ligase TRIM58,TRIM58
Q8NG08,HELB,DNA helicase B,HELB
Q8NG11,TSPAN14 TM4SF14,Tetraspanin-14,TSPAN14
Q8NG27,PJA1 RNF70,E3 ubiquitin-protein ligase Praja-1,PJA1
Q8NG31,KNL1 CASC5 KIAA1570,Kinetochore scaffold 1,KNL1
Q8NG50,RDM1 RAD52B,RAD52 motif-containing protein 1,RDM1
Q8NG66,NEK11,Serine/threonine-protein kinase Nek11,NEK11
Q8NG98,OR7D4 OR7D4P,Olfactory receptor 7D4,OR7D4
Q8NHC4,OR10J5,Olfactory receptor 10J5,OR10J5
Q8NHE4,ATP6V0E2 ATP6V0E2L C7orf32,V-type proton ATPase subunit e 2,ATP6V0E2
Q8NHG7,SVIP,Small VCP/p97-interacting protein,SVIP
Q8NHG8,ZNRF2 RNF202,E3 ubiquitin-protein ligase ZNRF2,ZNRF2
Q8NHH1,TTLL11 C9orf20,Tubulin polyglutamylase TTLL11,TTLL11
Q8NHH9,ATL2 ARL6IP2,Atlastin-2,ATL2
Q8NHJ6,LILRB4 ILT3 LIR5,Leukocyte immunoglobulin-like receptor subfamily B member 4,LILRB4
Q8NHL6,LILRB1 ILT2 LIR1 MIR7,Leukocyte immunoglobulin-like receptor subfamily B member 1,LILRB1
Q8NHM5,KDM2B CXXC2 FBL10 FBXL10 JHDM1B NDY1 PCCX2,Lysine-specific demethylase 2B,KDM2B
Q8NHP1,AKR7L AFAR3 AKR7A4,Aflatoxin B1 aldehyde reductase member 4,AKR7L
Q8NHP6,MOSPD2,Motile sperm domain-containing protein 2,MOSPD2
Q8NHP8,PLBD2,Putative phospholipase B-like 2,PLBD2
Q8NHQ1,CEP70 BITE,Centrosomal protein of 70 kDa,CEP70
Q8NHQ9,DDX55 KIAA1595,ATP-dependent RNA helicase DDX55,DDX55
Q8NHS0,DNAJB8,DnaJ homolog subfamily B member 8,DNAJB8
Q8NHS1,CLDND2,Claudin domain-containing protein 2,CLDND2
Q8NHS3,MFSD8 CLN7,Major facilitator superfamily domain-containing protein 8,MFSD8
Q8NHS9,SPATA22,Spermatogenesis-associated protein 22,SPATA22
Q8NHU2,CFAP61 C20orf26,Cilia- and flagella-associated protein 61,CFAP61
Q8NHU3,SGMS2 SMS2,Phosphatidylcholine:ceramide cholinephosphotransferase 2,SGMS2
Q8NHU6,TDRD7 PCTAIRE2BP,Tudor domain-containing protein 7,TDRD7
Q8NHV1,GIMAP7 IAN7,GTPase IMAP family member 7,GIMAP7
Q8NHV4,NEDD1,Protein NEDD1,NEDD1
Q8NHV9,RHOXF1 OTEX PEPP1,Rhox homeobox family member 1,RHOXF1
Q8NHW3,MAFA,Transcription factor MafA,MAFA
Q8NHW4,CCL4L1 CCL4L LAG1 SCYA4L1; CCL4L2 CCL4L SCYA4L2,C-C motif chemokine 4-like,CCL4L1
Q8NHX9,TPCN2 TPC2,Two pore channel protein 2,TPCN2
Q8NHY0,B4GALNT2 GALGT2,"Beta-1,4 N-acetylgalactosaminyltransferase 2",B4GALNT2
Q8NHY2,COP1 RFWD2 RNF200,E3 ubiquitin-protein ligase COP1,COP1
Q8NHY3,GAS2L2 GAR17,GAS2-like protein 2,GAS2L2
Q8NHZ7,MBD3L2,Methyl-CpG-binding domain protein 3-like 2,MBD3L2
Q8NHZ8,CDC26 ANAPC12 C9orf17,Anaphase-promoting complex subunit CDC26,CDC26
Q8NI08,NCOA7 ERAP140 ESNA1 Nbla00052 Nbla10993,Nuclear receptor coactivator 7,NCOA7
Q8NI17,IL31RA CRL3 GPL UNQ6368/PRO21073/PRO21384,Interleukin-31 receptor subunit alpha,IL31RA
Q8NI22,MCFD2 SDNSF,Multiple coagulation factor deficiency protein 2,MCFD2
Q8NI27,THOC2 CXorf3,THO complex subunit 2,THOC2
Q8NI35,PATJ CIPP INADL,InaD-like protein,PATJ
Q8NI36,WDR36,WD repeat-containing protein 36,WDR36
Q8NI37,PPTC7 TAPP2C,Protein phosphatase PTC7 homolog,PPTC7
Q8NI38,NFKBID IKBNS,NF-kappa-B inhibitor delta,NFKBID
Q8NI51,CTCFL BORIS,Transcriptional repressor CTCFL,CTCFL
Q8NI60,COQ8A ADCK3 CABC1 PP265,"Atypical kinase COQ8A, mitochondrial",COQ8A
Q8NI77,KIF18A OK/SW-cl.108,Kinesin-like protein KIF18A,KIF18A
Q8TA86,RP9,Retinitis pigmentosa 9 protein,RP9
Q8TAA9,VANGL1 STB2,Vang-like protein 1,VANGL1
Q8TAB3,PCDH19 KIAA1313,Protocadherin-19,PCDH19
Q8TAB5,C1orf216,UPF0500 protein C1orf216,C1orf216
Q8TAC2,JOSD2 SBBI54,Josephin-2,JOSD2
Q8TAC9,SCAMP5,Secretory carrier-associated membrane protein 5,SCAMP5
Q8TAD2,IL17D UNQ3096/PRO21175,Interleukin-17D,IL17D
Q8TAD4,SLC30A5 ZNT5 ZNTL1 ZTL1 UNQ863/PRO1879,Proton-coupled zinc antiporter SLC30A5,SLC30A5
Q8TAD8,SNIP1,Smad nuclear-interacting protein 1,SNIP1
Q8TAE7,KCNG3,Potassium voltage-gated channel subfamily G member 3,KCNG3
Q8TAE8,GADD45GIP1 MRPL59 PLINP1 PRG6,Large ribosomal subunit protein mL64,GADD45GIP1
Q8TAF3,WDR48 KIAA1449 UAF1,WD repeat-containing protein 48,WDR48
Q8TAF8,LHFPL5 TMHS,LHFPL tetraspan subfamily member 5 protein,LHFPL5
Q8TAG5,VSTM2A VSTM2,V-set and transmembrane domain-containing protein 2A,VSTM2A
Q8TAG9,EXOC6 SEC15A SEC15L SEC15L1,Exocyst complex component 6,EXOC6
Q8TAI7,RHEBL1,GTPase RhebL1,RHEBL1
Q8TAK6,OLIG1 BHLHB6 BHLHE21,Oligodendrocyte transcription factor 1,OLIG1
Q8TAM1,BBS10 C12orf58,Bardet-Biedl syndrome 10 protein,BBS10
Q8TAM2,TTC8 BBS8,Tetratricopeptide repeat protein 8,TTC8
Q8TAM6,ERMN KIAA1189,Ermin,ERMN
Q8TAP4,LMO3 RBTN3 RBTNL2 RHOM3,LIM domain only protein 3,LMO3
Q8TAP6,CEP76 C18orf9,Centrosomal protein of 76 kDa,CEP76
Q8TAP8,PPP1R35 C7orf47,Protein phosphatase 1 regulatory subunit 35,PPP1R35
Q8TAP9,MPLKIP C7orf11 TTDN1,M-phase-specific PLK1-interacting protein,MPLKIP
Q8TAQ2,SMARCC2 BAF170,SWI/SNF complex subunit SMARCC2,SMARCC2
Q8TAS1,UHMK1 KIS KIST,Serine/threonine-protein kinase Kist,UHMK1
Q8TAT2,FGFBP3 C10orf13 PSEC0101,Fibroblast growth factor-binding protein 3,FGFBP3
Q8TAT5,NEIL3,Endonuclease 8-like 3,NEIL3
Q8TAT6,NPLOC4 KIAA1499 NPL4,Nuclear protein localization protein 4 homolog,NPLOC4
Q8TAU0,NKX2-3 NKX23 NKX2C,Homeobox protein Nkx-2.3,NKX2-3
Q8TAU3,ZNF417,Zinc finger protein 417,ZNF417
Q8TAV3,CYP2W1,Cytochrome P450 2W1,CYP2W1
Q8TAX0,OSR1 ODD,Protein odd-skipped-related 1,OSR1
Q8TAX7,MUC7 MG2,Mucin-7,MUC7
Q8TAX9,GSDMB GSDML PP4052 PRO2521,Gasdermin-B,GSDMB
Q8TAZ6,CMTM2 CKLFSF2,CKLF-like MARVEL transmembrane domain-containing protein 2,CMTM2
Q8TB24,RIN3,Ras and Rab interactor 3,RIN3
Q8TB36,GDAP1,Ganglioside-induced differentiation-associated protein 1,GDAP1
Q8TB37,NUBPL C14orf127,Iron-sulfur cluster transfer protein NUBPL,NUBPL
Q8TB40,ABHD4,Lyso)-N-acylphosphatidylethanolamine lipase,ABHD4
Q8TB45,DEPTOR DEPDC6,DEP domain-containing mTOR-interacting protein,DEPTOR
Q8TB61,SLC35B2 PAPST1 PSEC0149,Adenosine 3'-phospho 5'-phosphosulfate transporter 1,SLC35B2
Q8TB68,PRR7,Proline-rich protein 7,PRR7
Q8TB72,PUM2 KIAA0235 PUMH2,Pumilio homolog 2,PUM2
Q8TB73,NDNF C4orf31 UNQ2748/PRO6487,Protein NDNF,NDNF
Q8TB92,HMGCLL1,"3-hydroxy-3-methylglutaryl-CoA lyase, cytoplasmic",HMGCLL1
Q8TBA6,GOLGA5 RETII RFG5 PIG31,Golgin subfamily A member 5,GOLGA5
Q8TBB0,THAP6,THAP domain-containing protein 6,THAP6
Q8TBB1,LNX1 LNX PDZRN2 UNQ574/PRO1136,E3 ubiquitin-protein ligase LNX,LNX1
Q8TBB6,SLC7A14 KIAA1613,Solute carrier family 7 member 14,SLC7A14
Q8TBC3,SHKBP1 SB1 PP203,SH3KBP1-binding protein 1,SHKBP1
Q8TBC4,UBA3 UBE1C,NEDD8-activating enzyme E1 catalytic subunit,UBA3
Q8TBC5,ZSCAN18 ZNF447,Zinc finger and SCAN domain-containing protein 18,ZSCAN18
Q8TBE0,BAHD1 KIAA0945,Bromo adjacent homology domain-containing 1 protein,BAHD1
Q8TBE1,CNIH3,Protein cornichon homolog 3,CNIH3
Q8TBE3,FNDC9 C5orf40,Fibronectin type III domain-containing protein 9,FNDC9
Q8TBE7,SLC35G2 TMEM22,Solute carrier family 35 member G2,SLC35G2
Q8TBE9,NANP C20orf147 HDHD4,N-acylneuraminate-9-phosphatase,NANP
Q8TBF2,PRXL2B C1orf93 FAM213B,Prostamide/prostaglandin F synthase,PRXL2B
Q8TBG4,ETNPPL AGXT2L1,Ethanolamine-phosphate phospho-lyase,ETNPPL
Q8TBG9,SYNPR,Synaptoporin,SYNPR
Q8TBJ4,PLPPR1 LPPR1 PRG3,Phospholipid phosphatase-related protein type 1,PLPPR1
Q8TBJ5,FEZF2 FEZL ZNF312 FKSG36,Fez family zinc finger protein 2,FEZF2
Q8TBK2,SETD6,N-lysine methyltransferase SETD6,SETD6
Q8TBK6,ZCCHC10,Zinc finger CCHC domain-containing protein 10,ZCCHC10
Q8TBM7,TMEM254 C10orf57,Transmembrane protein 254,TMEM254
Q8TBM8,DNAJB14 UNQ9427/PRO34683,DnaJ homolog subfamily B member 14,DNAJB14
Q8TBN0,RAB3IL1,Guanine nucleotide exchange factor for Rab-3A,RAB3IL1
Q8TBP5,FAM174A NS5ATP6 TMEM157 UNQ1912/PRO4371,Membrane protein FAM174A,FAM174A
Q8TBX8,PIP4K2C PIP5K2C,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,PIP4K2C
Q8TBY0,RBM46,Probable RNA-binding protein 46,RBM46
Q8TBY8,PMFBP1,Polyamine-modulated factor 1-binding protein 1,PMFBP1
Q8TBY9,CFAP251 WDR66,Cilia- and flagella-associated protein 251,CFAP251
Q8TBZ2,MYCBPAP AMAP1,MYCBP-associated protein,MYCBPAP
Q8TBZ3,WDR20,WD repeat-containing protein 20,WDR20
Q8TBZ6,TRMT10A RG9MTD2,tRNA methyltransferase 10 homolog A,TRMT10A
Q8TBZ8,ZNF564,Zinc finger protein 564,ZNF564
Q8TC05,MDM1,Nuclear protein MDM1,MDM1
Q8TC07,TBC1D15,TBC1 domain family member 15,TBC1D15
Q8TC12,RDH11 ARSDR1 PSDR1 SDR7C1 CGI-82,Retinol dehydrogenase 11,RDH11
Q8TC20,CAGE1 CTAG3,Cancer-associated gene 1 protein,CAGE1
Q8TC26,TMEM163,Transmembrane protein 163,TMEM163
Q8TC27,ADAM32 UNQ5982/PRO21340,Disintegrin and metalloproteinase domain-containing protein 32,ADAM32
Q8TC29,ENKUR C10orf63,Enkurin,ENKUR
Q8TC36,SUN5 SPAG4L TSARG4,SUN domain-containing protein 5,SUN5
Q8TC41,RNF217 C6orf172 IBRDC1 OSTL,E3 ubiquitin-protein ligase RNF217,RNF217
Q8TC44,POC1B WDR51B,POC1 centriolar protein homolog B,POC1B
Q8TC57,M1AP C2orf65 SPATA37,Meiosis 1 arrest protein,M1AP
Q8TC59,PIWIL2 HILI,Piwi-like protein 2,PIWIL2
Q8TC71,SPATA18 MIEAP,Mitochondria-eating protein,SPATA18
Q8TC84,FANK1 HSD13 UNQ6504/PRO21382,Fibronectin type 3 and ankyrin repeat domains protein 1,FANK1
Q8TC92,ENOX1 PIG38,Ecto-NOX disulfide-thiol exchanger 1,ENOX1
Q8TC94,ACTL9 ACTL7C HSD21,Actin-like protein 9,ACTL9
Q8TCB7,METTL6,tRNA N,METTL6
Q8TCC7,SLC22A8 OAT3,Organic anion transporter 3,SLC22A8
Q8TCD5,NT5C DNT1 UMPH2,5',NT5C
Q8TCE6,DENND10 FAM45A,DENN domain-containing protein 10,DENND10
Q8TCE9,LGALS14 PPL13,Placental protein 13-like,LGALS14
Q8TCF1,ZFAND1,AN1-type zinc finger protein 1,ZFAND1
Q8TCG1,CIP2A KIAA1524,Protein CIP2A,CIP2A
Q8TCG2,PI4K2B,Phosphatidylinositol 4-kinase type 2-beta,PI4K2B
Q8TCG5,CPT1C CATL1,Palmitoyl thioesterase CPT1C,CPT1C
Q8TCI5,CIMAP3 C1orf88 PIFO,Ciliary microtubule-associated protein 3,CIMAP3
Q8TCJ0,FBXO25 FBX25,F-box only protein 25,FBXO25
Q8TCJ2,STT3B SIMP,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,STT3B
Q8TCQ1,MARCHF1 MARCH1 RNF171,E3 ubiquitin-protein ligase MARCHF1,MARCHF1
Q8TCS8,PNPT1 PNPASE,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",PNPT1
Q8TCT0,CERK KIAA1646,Ceramide kinase,CERK
Q8TCT1,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase,PHOSPHO1
Q8TCT6,SPPL3 IMP2 PSL4,Signal peptide peptidase-like 3,SPPL3
Q8TCT7,SPPL2B IMP4 KIAA1532 PSL1,Signal peptide peptidase-like 2B,SPPL2B
Q8TCT8,SPPL2A IMP3 PSL2 PSEC0147,Signal peptide peptidase-like 2A,SPPL2A
Q8TCT9,HM13 H13 IMP1 PSL3 SPP MSTP086,Minor histocompatibility antigen H13,HM13
Q8TCU3,SLC7A13 AGT1 XAT2,Solute carrier family 7 member 13,SLC7A13
Q8TCU4,ALMS1 KIAA0328,Centrosome-associated protein ALMS1,ALMS1
Q8TCU5,GRIN3A KIAA1973,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A
Q8TCU6,PREX1 KIAA1415,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein",PREX1
Q8TCX1,DYNC2LI1 D2LIC LIC3 CGI-60,Cytoplasmic dynein 2 light intermediate chain 1,DYNC2LI1
Q8TCX5,RHPN1 KIAA1929,Rhophilin-1,RHPN1
Q8TCY5,MRAP C21orf61 FALP,Melanocortin-2 receptor accessory protein,MRAP
Q8TCY9,URGCP KIAA1507 URG4,Up-regulator of cell proliferation,URGCP
Q8TCZ2,CD99L2 MIC2L1 UNQ1964/PRO4486,CD99 antigen-like protein 2,CD99L2
Q8TD06,AGR3 BCMP11 PDIA18 UNQ642/PRO1272,Anterior gradient protein 3,AGR3
Q8TD07,RAET1E LETAL N2DL4 ULBP4 UNQ1867/PRO4303,Retinoic acid early transcript 1E,RAET1E
Q8TD08,MAPK15 ERK7 ERK8,Mitogen-activated protein kinase 15,MAPK15
Q8TD10,MIPOL1,Mirror-image polydactyly gene 1 protein,MIPOL1
Q8TD16,BICD2 KIAA0699,Protein bicaudal D homolog 2,BICD2
Q8TD17,ZNF398 KIAA1339 ZER6,Zinc finger protein 398,ZNF398
Q8TD19,NEK9 KIAA1995 NEK8 NERCC,Serine/threonine-protein kinase Nek9,NEK9
Q8TD22,SFXN5,Sideroflexin-5,SFXN5
Q8TD23,ZNF675 TIZ,Zinc finger protein 675,ZNF675
Q8TD26,CHD6 CHD5 KIAA1335 RIGB,Chromodomain-helicase-DNA-binding protein 6,CHD6
Q8TD30,GPT2 AAT2 ALT2,Alanine aminotransferase 2,GPT2
Q8TD31,CCHCR1 C6orf18 HCR,Coiled-coil alpha-helical rod protein 1,CCHCR1
Q8TD43,TRPM4 LTRPC4,Transient receptor potential cation channel subfamily M member 4,TRPM4
Q8TD46,CD200R1 CD200R CRTR2 MOX2R OX2R UNQ2522/PRO6015,Cell surface glycoprotein CD200 receptor 1,CD200R1
Q8TD57,DNAH3 DNAHC3B,Dynein axonemal heavy chain 3,DNAH3
Q8TD84,DSCAML1 DSCAM2 KIAA1132,Cell adhesion molecule DSCAML1,DSCAML1
Q8TD91,MAGEC3 HCA2,Melanoma-associated antigen C3,MAGEC3
Q8TDB4,MGARP C4orf49 CESP1 HUMMR OSAP GS3582,Protein MGARP,MGARP
Q8TDB6,DTX3L BBAP,E3 ubiquitin-protein ligase DTX3L,DTX3L
Q8TDB8,SLC2A14 GLUT14,"Solute carrier family 2, facilitated glucose transporter member 14",SLC2A14
Q8TDC0,MYOZ3 FRP3,Myozenin-3,MYOZ3
Q8TDC3,BRSK1 KIAA1811 SAD1 SADB,Serine/threonine-protein kinase BRSK1,BRSK1
Q8TDD1,DDX54,ATP-dependent RNA helicase DDX54,DDX54
Q8TDD2,SP7 OSX,Transcription factor Sp7,SP7
Q8TDD5,MCOLN3,Mucolipin-3,MCOLN3
Q8TDF5,NETO1 BTCL1,Neuropilin and tolloid-like protein 1,NETO1
Q8TDF6,RASGRP4,RAS guanyl-releasing protein 4,RASGRP4
Q8TDG2,ACTRT1 ARPT1 HSD27,Actin-related protein T1,ACTRT1
Q8TDG4,HELQ HEL308,Helicase POLQ-like,HELQ
Q8TDH9,BLOC1S5 MUTED,Biogenesis of lysosome-related organelles complex 1 subunit 5,BLOC1S5
Q8TDI0,CHD5 KIAA0444,Chromodomain-helicase-DNA-binding protein 5,CHD5
Q8TDI7,TMC2 C20orf145 UNQ907/PRO1928,Transmembrane channel-like protein 2,TMC2
Q8TDI8,TMC1,Transmembrane channel-like protein 1,TMC1
Q8TDJ6,DMXL2 KIAA0856,DmX-like protein 2,DMXL2
Q8TDL5,BPIFB1 C20orf114 LPLUNC1 UNQ706/PRO1357,BPI fold-containing family B member 1,BPIFB1
Q8TDM6,DLG5 KIAA0583 PDLG,Disks large homolog 5,DLG5
Q8TDN1,KCNG4 KCNG3,Potassium voltage-gated channel subfamily G member 4,KCNG4
Q8TDN2,KCNV2,Potassium voltage-gated channel subfamily V member 2,KCNV2
Q8TDN4,CABLES1 CABLES,CDK5 and ABL1 enzyme substrate 1,CABLES1
Q8TDN7,ACER1 ASAH3,Alkaline ceramidase 1,ACER1
Q8TDP1,RNASEH2C AYP1,Ribonuclease H2 subunit C,RNASEH2C
Q8TDQ0,HAVCR2 TIM3 TIMD3,Hepatitis A virus cellular receptor 2,HAVCR2
Q8TDQ1,CD300LF CD300F CLM1 IGSF13 IREM1 NKIR UNQ3105/PRO10111,CMRF35-like molecule 1,CD300LF
Q8TDQ7,GNPDA2 GNP2,Glucosamine-6-phosphate isomerase 2,GNPDA2
Q8TDR0,TRAF3IP1 IFT54 MIPT3,TRAF3-interacting protein 1,TRAF3IP1
Q8TDR2,STK35 CLIK1 PDIK1 STK35L1,Serine/threonine-protein kinase 35,STK35
Q8TDR4,TCP10L PRED77,T-complex protein 10A homolog 1,TCP10L
Q8TDS4,HCAR2 GPR109A HCA2 HM74A NIACR1,Hydroxycarboxylic acid receptor 2,HCAR2
Q8TDS5,OXER1 GPR170 TG1019,Oxoeicosanoid receptor 1,OXER1
Q8TDT2,GPR152 PGR5,Probable G-protein coupled receptor 152,GPR152
Q8TDU6,GPBAR1 TGR5,G-protein coupled bile acid receptor 1,GPBAR1
Q8TDV0,GPR151 GALR4 GALRL PGR7,G-protein coupled receptor 151,GPR151
Q8TDW0,LRRC8C AD158 FAD158,Volume-regulated anion channel subunit LRRC8C,LRRC8C
Q8TDW5,SYTL5 SLP5,Synaptotagmin-like protein 5,SYTL5
Q8TDW7,FAT3 CDHF15 KIAA1989,Protocadherin Fat 3,FAT3
Q8TDX5,ACMSD,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,ACMSD
Q8TDX6,CSGALNACT1 CHGN GALNACT1 UNQ656/PRO1287,Chondroitin sulfate N-acetylgalactosaminyltransferase 1,CSGALNACT1
Q8TDX7,NEK7,Serine/threonine-protein kinase Nek7,NEK7
Q8TDX9,PKD1L1 UNQ5785/PRO19563,Polycystin-1-like protein 1,PKD1L1
Q8TDY2,RB1CC1 KIAA0203 RBICC,RB1-inducible coiled-coil protein 1,RB1CC1
Q8TDY4,ASAP3 DDEFL1 UPLC1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3",ASAP3
Q8TDZ2,MICAL1 MICAL NICAL,[F-actin]-monooxygenase MICAL1,MICAL1
Q8TE02,ELP5 C17orf81 DERP6 HSPC002 MSTP071,Elongator complex protein 5,ELP5
Q8TE04,PANK1 PANK,Pantothenate kinase 1,PANK1
Q8TE12,LMX1A,LIM homeobox transcription factor 1-alpha,LMX1A
Q8TE23,TAS1R2 GPR71 T1R2 TR2,Taste receptor type 1 member 2,TAS1R2
Q8TE49,OTUD7A C15orf16 CEZANNE2 OTUD7,OTU domain-containing protein 7A,OTUD7A
Q8TE54,SLC26A7 SUT2,Anion exchange transporter,SLC26A7
Q8TE56,ADAMTS17,A disintegrin and metalloproteinase with thrombospondin motifs 17,ADAMTS17
Q8TE57,ADAMTS16 KIAA2029,A disintegrin and metalloproteinase with thrombospondin motifs 16,ADAMTS16
Q8TE58,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,ADAMTS15
Q8TE59,ADAMTS19,A disintegrin and metalloproteinase with thrombospondin motifs 19,ADAMTS19
Q8TE60,ADAMTS18 ADAMTS21,A disintegrin and metalloproteinase with thrombospondin motifs 18,ADAMTS18
Q8TE67,EPS8L3 EPS8R3,Epidermal growth factor receptor kinase substrate 8-like protein 3,EPS8L3
Q8TE68,EPS8L1 DRC3 EPS8R1 PP10566,Epidermal growth factor receptor kinase substrate 8-like protein 1,EPS8L1
Q8TE73,DNAH5 DNAHC5 HL1 KIAA1603,Dynein axonemal heavy chain 5,DNAH5
Q8TE76,MORC4 ZCW4 ZCWCC2,MORC family CW-type zinc finger protein 4,MORC4
Q8TE77,SSH3 SSH3L,Protein phosphatase Slingshot homolog 3,SSH3
Q8TE85,GRHL3 SOM TFCP2L4,Grainyhead-like protein 3 homolog,GRHL3
Q8TE99,PXYLP1 ACPL2 HEL124 XYLP UNQ370/PRO706,2-phosphoxylose phosphatase 1,PXYLP1
Q8TEA1,NSUN6 NOPD1,tRNA,NSUN6
Q8TEA7,TBCK FERRY1 TBCKL HSPC302,TBC domain-containing protein kinase-like protein,TBCK
Q8TEA8,DTD1 C20orf88 DUEB HARS2,D-aminoacyl-tRNA deacylase 1,DTD1
Q8TEB1,DCAF11 WDR23 GL014 PRO2389,DDB1- and CUL4-associated factor 11,DCAF11
Q8TEB7,RNF128,E3 ubiquitin-protein ligase RNF128,RNF128
Q8TEB9,RHBDD1 RHBDL4 HSD-50 HSD50,Rhomboid-related protein 4,RHBDD1
Q8TEC5,SH3RF2 POSH3 POSHER PPP1R39 RNF158,E3 ubiquitin-protein ligase SH3RF2,SH3RF2
Q8TED0,UTP15,U3 small nucleolar RNA-associated protein 15 homolog,UTP15
Q8TED1,GPX8 UNQ847/PRO1785,Probable glutathione peroxidase 8,GPX8
Q8TED4,SLC37A2,Glucose-6-phosphate exchanger SLC37A2,SLC37A2
Q8TED9,AFAP1L1,Actin filament-associated protein 1-like 1,AFAP1L1
Q8TEH3,DENND1A FAM31A KIAA1608,DENN domain-containing protein 1A,DENND1A
Q8TEJ3,SH3RF3 POSH2 SH3MD4,E3 ubiquitin-protein ligase SH3RF3,SH3RF3
Q8TEK3,DOT1L KIAA1814 KMT4,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",DOT1L
Q8TEL6,TRPC4AP C20orf188 TRRP4AP,Short transient receptor potential channel 4-associated protein,TRPC4AP
Q8TEM1,NUP210 KIAA0906 PSEC0245,Nuclear pore membrane glycoprotein 210,NUP210
Q8TEP8,CEP192 KIAA1569 PP8407,Centrosomal protein of 192 kDa,CEP192
Q8TEQ6,GEMIN5,Gem-associated protein 5,GEMIN5
Q8TEQ8,PIGO UNQ632/PRO1249,GPI ethanolamine phosphate transferase 3,PIGO
Q8TER0,SNED1,"Sushi, nidogen and EGF-like domain-containing protein 1",SNED1
Q8TER5,ARHGEF40 SOLO,Rho guanine nucleotide exchange factor 40,ARHGEF40
Q8TES7,FBF1 ALB KIAA1863,Fas-binding factor 1,FBF1
Q8TEU7,RAPGEF6 PDZGEF2,Rap guanine nucleotide exchange factor 6,RAPGEF6
Q8TEU8,WFIKKN2 GASP1 WFIKKNRP UNQ9235/PRO31996,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",WFIKKN2
Q8TEV9,SMCR8,Guanine nucleotide exchange protein SMCR8,SMCR8
Q8TEW0,PARD3 PAR3 PAR3A,Partitioning defective 3 homolog,PARD3
Q8TEW6,DOK4,Docking protein 4,DOK4
Q8TEW8,PARD3B ALS2CR19 PAR3B PAR3L,Partitioning defective 3 homolog B,PARD3B
Q8TEX9,IPO4 IMP4B RANBP4,Importin-4,IPO4
Q8TEY5,CREB3L4 AIBZIP CREB4 JAL,Cyclic AMP-responsive element-binding protein 3-like protein 4,CREB3L4
Q8TEY7,USP33 KIAA1097 VDU1,Ubiquitin carboxyl-terminal hydrolase 33,USP33
Q8TEZ7,PAQR8 C6orf33 LMPB1 MPRB,Membrane progestin receptor beta,PAQR8
Q8TF01,PNISR C6orf111 SFRS18 SRRP130 HSPC261 HSPC306,Arginine/serine-rich protein PNISR,PNISR
Q8TF05,PPP4R1 MEG1 PP4R1,Serine/threonine-protein phosphatase 4 regulatory subunit 1,PPP4R1
Q8TF09,DYNLRB2 DNCL2B DNLC2B ROBLD2,Dynein light chain roadblock-type 2,DYNLRB2
Q8TF17,SH3TC2 KIAA1985 PP12494,SH3 domain and tetratricopeptide repeat-containing protein 2,SH3TC2
Q8TF30,WHAMM KIAA1971 WHDC1,"WASP homolog-associated protein with actin, membranes and microtubules",WHAMM
